,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID
1088,1214,UEI-IMD-FL-1984-0071,12/9/1984,12/9/1984,0,heavy rains,,Greater Mumbai,Maharastra,,,,,,1,,,1 person injured,i)Several low lying areas flooded ii)50 drams containing chemicals cought fire at Haji Bunder iii)Several cases of Short-circuits reported,IMD,
1089,1215,UEI-IMD-FL-1984-0072,8/10/1984,8/10/1984,0,heavy rains,,Pune,Maharastra,,,,,1,2,,,A 7 years old girl died and her mother and brother injured in a house collapse in Pune city,,IMD,
1090,1216,UEI-IMD-FL-1984-0073,12/6/1984,13-06-1984,1,heavy rains,,Koraput,Odisha,,,,,,,,,,800 people evacuated to safer place,IMD,
1091,1217,UEI-IMD-FL-1984-0074,13-06-1984,13-06-1984,0,severe,,Ganjam,Odisha,,,,,,,,,,i)5000 people affected and 1000 people marooned. 1000 houses collapsed 3 school buildings damaged ii)7 villages in Kasinagar block submerged iii)Many country boats washed away iv)Road traffic through Ganupur disrupted as a wooden bridge on river Vamshadhara washed away,IMD,
1092,1218,UEI-IMD-FL-1984-0075,8/8/1984,7/9/1984,30,severe,,"Balasore, Cuttack, Dhenkanal, Ganjam, Keonjhar, Puri & Baudh Khandmals",Odisha,,,,,27,,,459,i)27 persons died (highest tell recorded in Cuttack district ii)459 cattle perished,"i)35,11,177 people in 6137 villages affected ii)Paddy, vegetables and oilseed crops badly damaged. 3,52,448 hectares cultivated land damaged iii)7908 hectares of land sandcast iv)37 houses swept away while 3,709 completely and 15,648 partially collapsed. 9,700 school and college building affected by flood v)4,740 km stretch of road damaged vi)4,756 telecommuniction lines affected",IMD,
1093,1219,UEI-IMD-FL-1984-0076,1/9/1984,1/9/1984,0,heavy rains,,Jullundur and Amritsar,Punjab,,,,,,,,,,i)Standing paddy crop in these districts badly damaged ii)Rail and road traffic disrupted iii)9 metre stretch of Kapurthalasultanpur Lodhi road near Fathidhinga village submerged,IMD,
1094,1220,UEI-IMD-FL-1984-0077,20-07-1984,20-07-1984,0,heavy rains,,Ajmer,Rajasthan,,,,,14,7,,,"14 teenaged children and a female teacher of a primary school, killed in a house collapse; 7 other children seriously injured",,IMD,
1095,1221,UEI-IMD-FL-1984-0078,16-02-1984,17-02-1984,1,heavy rains,,Madras city and Suburban area,Tamil Nadu,,,,,8,,,,8 persons died in house collapse,Extensive damage caused to building,IMD,
1096,1222,UEI-IMD-FL-1984-0079,4/3/1984,6/3/1984,2,heavy rains,,Tirunelveli,Tamil Nadu,,,,,12,,,,12 persons died,,IMD,
1097,1223,UEI-IMD-FL-1984-0080,4/3/1984,7/3/1984,3,severe,,Madurai and North Arcot,Tamil Nadu,,,,,,,,,,"i)Several huts on either side of Vaigai river in Madurai city washed away ii)Standing Paddy and groundnut crop in 32,000 hectares area damaged",IMD,
1098,1224,UEI-IMD-FL-1984-0081,6/3/1984,6/3/1984,0,heavy rains,,Tiruchirapalli,Tamil Nadu,,,,,3,40,,,3 children in age group 8-12 years died and 40 other belonging to the same family injured in a house collapse in Laxminakantapuram near Turaiyur,,IMD,
1099,1225,UEI-IMD-FL-1984-0082,30-04-1984,30-04-1984,0,heavy rains,,Madurai,Tamil Nadu,,,,,4,49,,,"4 persons died and 49 injured when a cinema hall at Vandiyur near Madurai, collapsed",,IMD,
1100,1226,UEI-IMD-FL-1984-0083,3/10/1984,4/10/1984,1,severe,,Coimbatore,Tamil Nadu,,,,,9,,,,i)7 persons including 4 women and 1 child died in a flash flood ii)2 persons died in wall collapse in Coimbatore city,"i)4000 people rendered homeless ii)About 1000 huts locked in low lying areas and on the bank of river washed away. Many buildings collapsed iii)Flood water entered huts and houses in Sanganur, Rathnapuri, Sivananda colony and Podannur",IMD,
1101,1227,UEI-IMD-FL-1984-0084,13-05-1984,17-05-1984,4,severe,,North Tripura,Tripura,,,,,26,,,,26 persons died,"i)2.05 lakh people rendered homeless. 39,000 people took shelter in 47 relief camps ii)Standing crops badly damaged. Loss estimated to be worth Rs. 14 crores iii)Assam-Agartala road blocked for vehicular traffic at several points due to landslide iv)IA flights delayed",IMD,
